X,Y,OBJECTID,KC_Fac_FID,KCParkFID,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType,Label_Type
-122.303635285124,47.4787531702698,711,7841,4231606,Highline SeaTac Botanical Garden,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,1
-121.875787508471,47.5308026054319,712,5383,7242616,Kinsey Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,1
-122.037003092228,47.5272006782765,713,8215,6243304,Cornick Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,0
-122.037047550104,47.5273112704445,714,8215,6243304,Cornick Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,1
-121.369198757726,47.475301352695,715,2785,12241501,Alpine Lakes Wilderness,Park Site,US Forest Service,Federal,US Forest Service,Federal,US Forest Service,Federal,0
-121.370281187366,47.5837599680754,716,2785,12241501,Alpine Lakes Wilderness,Park Site,US Forest Service,Federal,US Forest Service,Federal,US Forest Service,Federal,1
-121.093394621847,47.7071252963451,717,2785,12241501,Alpine Lakes Wilderness,Park Site,US Forest Service,Federal,US Forest Service,Federal,US Forest Service,Federal,2
-122.361272285568,47.6462264900566,718,2418,3252402,Queen Anne Bowl Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.359493752713,47.6455109874986,719,2418,3252402,Queen Anne Bowl Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.324929228487,47.6198751264032,720,7023,4252906,Summit Slope Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.205059232073,47.7454133726913,721,15360,5261704,Pipers Crest Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.204795949104,47.7460446107265,722,15360,5261704,Pipers Crest Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.306543216391,47.4058837559937,723,5309,4220902,Steven J. Underwood Memorial Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.344953559405,47.4313760735806,724,2467,4220601,Nature Trails Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,1
-122.162678402522,47.5519362559805,725,5023,5242216,Forestpark Mini Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.328752552268,47.745714238018,726,2260,4261704,Ridgecrest Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,0
-122.327819937851,47.7463533205153,727,2260,4261704,Ridgecrest Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,1
-122.39105802658,47.6405849156664,728,7138,3252305,Ella Bailey Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.325344452141,47.4071302046592,729,5308,4220805,Big Catch Plaza,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.28800839812,47.7564047040887,730,5068,4261002,Eagle Scout Park,Park Site,City of Lake Forest Park,City,City of Lake Forest Park,City,City of Lake Forest Park,City,1
-122.284259733525,47.6152320494222,731,7038,4253403,Madrona Briar Patch,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.138756872482,47.5489236599521,732,5040,5242304,SE 63rd Greenbelt North,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.206962124988,47.3473083022549,733,2358,5223202,Mary Olson Farm,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,0
-122.203593284213,47.343412323003,734,2358,5223202,Mary Olson Farm,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1
-122.390025123204,47.5061349721636,735,7212,3230203,Arroyos Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.390721857995,47.5069346454367,736,7212,3230203,Arroyos Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.386209301901,47.5040916486912,737,7212,3230203,Arroyos Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2
